% Model,cmt.mph
% Version,COMSOL 6.3.0.420
% Date,"Sep 5 2025, 03:55"
% Table,Accumulated Probe Table 2 - 
% gap (m),Effective_mode_index (1),C12,C21,X11,X22,K12,K21,neff2,xpol1,ypol1,zpol1,xpol2,ypol2,zpol2
1.0E-8,1.4988027009900013+2.224523264383661E-9i,0.11774808906210338+2.9300217155057475E-14i,0.11774626298806212-2.929976275816343E-14i,610201.8390621595,610320.5997052267,98288.80826006114+2.385028944393317E-8i,98170.55949816723-2.6585175125056003E-8i,2.4041634205075217,0.7044974882581917,0.013237514326104262,0.2822649974157039,0.7044974882582118,0.013237514326102307,0.2822649974156862
1.0E-8,2.4041634205075217,0.11774808906210338+2.9300217155057475E-14i,0.11774626298806212-2.929976275816343E-14i,610201.8390621595,610320.5997052267,98288.80826006114+2.385028944393317E-8i,98170.55949816723-2.6585175125056003E-8i,2.4041634205075217,0.7044974882581917,0.013237514326104262,0.2822649974157039,0.7044974882582118,0.013237514326102307,0.2822649974156862
2.006711409395973E-8,1.4988027009900131+2.2245236685322864E-9i,0.10748394753019887+7.174134357886936E-15i,0.10748325120830964-7.174087881116175E-15i,490991.74292548903,490974.0725811416,89775.13957803822+6.910623961829239E-9i,89822.39031256865-7.865193085999766E-9i,2.4041634205075297,0.7044974882581917,0.013237514326104262,0.2822649974157039,0.7044974882582116,0.013237514326103086,0.2822649974156874
2.006711409395973E-8,2.4041634205075297,0.10748394753019887+7.174134357886936E-15i,0.10748325120830964-7.174087881116175E-15i,490991.74292548903,490974.0725811416,89775.13957803822+6.910623961829239E-9i,89822.39031256865-7.865193085999766E-9i,2.4041634205075297,0.7044974882581917,0.013237514326104262,0.2822649974157039,0.7044974882582116,0.013237514326103086,0.2822649974156874
3.0134228187919464E-8,1.4988027009900076+2.2245232643836467E-9i,0.0980928674959717+3.223968351206323E-14i,0.09809184533347372-3.223934756311736E-14i,395939.58805876103,395967.3222464483,81808.74384540472+2.620962438669204E-8i,81969.93278179505-2.8989608796525088E-8i,2.4041634205075195-7.271167595925733E-16i,0.7044974882581916,0.013237514326104262,0.2822649974157039,0.7044974882582115,0.013237514326102543,0.2822649974156867
3.0134228187919464E-8,2.4041634205075195-7.271167595925733E-16i,0.0980928674959717+3.223968351206323E-14i,0.09809184533347372-3.223934756311736E-14i,395939.58805876103,395967.3222464483,81808.74384540472+2.620962438669204E-8i,81969.93278179505-2.8989608796525088E-8i,2.4041634205075195-7.271167595925733E-16i,0.7044974882581916,0.013237514326104262,0.2822649974157039,0.7044974882582115,0.013237514326102543,0.2822649974156867
4.02013422818792E-8,1.4988027009900176+2.224520839491716E-9i,0.08958607326348049+8.526359888183107E-15i,0.0895832931832715-8.526095293882717E-15i,319511.5188952766,319495.70444380655,74782.56338222022+8.512408782783782E-9i,74876.72777984274-8.678405556618548E-9i,2.4041634205075226+4.847445063950463E-16i,0.7044974882581916,0.013237514326104262,0.2822649974157038,0.7044974882582099,0.013237514326103029,0.28226499741568756
4.02013422818792E-8,2.4041634205075226+4.847445063950463E-16i,0.08958607326348049+8.526359888183107E-15i,0.0895832931832715-8.526095293882717E-15i,319511.5188952766,319495.70444380655,74782.56338222022+8.512408782783782E-9i,74876.72777984274-8.678405556618548E-9i,2.4041634205075226+4.847445063950463E-16i,0.7044974882581916,0.013237514326104262,0.2822649974157038,0.7044974882582099,0.013237514326103029,0.28226499741568756
5.026845637583893E-8,1.498802700990009+2.2245228602349925E-9i,0.08181645980121267+3.289214819503168E-14i,0.08181809300175455-3.289280478020276E-14i,258172.99346842678,258251.19202541193,68399.2560965285+2.9048301355830534E-8i,68084.88982792872-2.8918861382171695E-8i,2.404163420507524,0.7044974882581917,0.013237514326104262,0.2822649974157039,0.704497488258212,0.013237514326102404,0.28226499741568717
5.026845637583893E-8,2.404163420507524,0.08181645980121267+3.289214819503168E-14i,0.08181809300175455-3.289280478020276E-14i,258172.99346842678,258251.19202541193,68399.2560965285+2.9048301355830534E-8i,68084.88982792872-2.8918861382171695E-8i,2.404163420507524,0.7044974882581917,0.013237514326104262,0.2822649974157039,0.704497488258212,0.013237514326102404,0.28226499741568717
6.033557046979867E-8,1.498802700990009+2.22452730587016E-9i,0.07477717067467649+2.4287950860268092E-14i,0.07477743024789543-2.428803517078064E-14i,208964.68502315084,208988.50913382252,62428.34994798484+2.1369781007261126E-8i,62649.28339501096-2.187649641760804E-8i,2.404163420507529+4.847445063950407E-16i,0.7044974882581916,0.01323751432610426,0.2822649974157039,0.7044974882582115,0.013237514326103001,0.28226499741568684
6.033557046979867E-8,2.404163420507529+4.847445063950407E-16i,0.07477717067467649+2.4287950860268092E-14i,0.07477743024789543-2.428803517078064E-14i,208964.68502315084,208988.50913382252,62428.34994798484+2.1369781007261126E-8i,62649.28339501096-2.187649641760804E-8i,2.404163420507529+4.847445063950407E-16i,0.7044974882581916,0.01323751432610426,0.2822649974157039,0.7044974882582115,0.013237514326103001,0.28226499741568684
