% Model,tutorial_comsol_projeto1.mph
% Version,COMSOL 6.3.0.420
% Date,"Aug 30 2025, 19:06"
% Table,Accumulated Probe Table 3 - 
% gap (m),Effective_mode_index (1),C12,C21,X11,X22,K12,K21
1.0060402684563759E-7,2.4041634205075253-7.271167595925653E-16i,-1.22769612407691E-5+2.6712969824481976E-9i,-1.2274497505586359E-5-2.670760907744541E-9i,8267835.219976651,7946460.46844938,171.84790582440792+0.035820798595658024i,-62.31959708315771-0.002129521228046409i
1.1067114093959732E-7,1.4988027009900107+2.2245240726809435E-9i,4.6591852086982185E-6+2.6456686239130843E-9i,4.658399589894874E-6-2.645222518655169E-9i,8267482.64127784,7946376.41713824,207.53900917589755+0.03375187949353565i,-5.179106766290784-0.0018070790063728392i
1.1067114093959732E-7,2.404163420507523,4.6591852086982185E-6+2.6456686239130843E-9i,4.658399589894874E-6-2.645222518655169E-9i,8267482.64127784,7946376.41713824,207.53900917589755+0.03375187949353565i,-5.179106766290784-0.0018070790063728392i
1.2073825503355707E-7,1.4988027009900087+2.224526093424206E-9i,1.3440669392262616E-6+2.5554121539970784E-9i,1.3437050601189928E-6-2.5547241300281366E-9i,8268338.952681564,7946399.6505088685,250.50183745931668+0.03166323635652878i,-45.65225067897115-0.00171680881439201i
1.2073825503355707E-7,2.404163420507527-4.847445063950421E-16i,1.3440669392262616E-6+2.5554121539970784E-9i,1.3437050601189928E-6-2.5547241300281366E-9i,8268338.952681564,7946399.6505088685,250.50183745931668+0.03166323635652878i,-45.65225067897115-0.00171680881439201i
1.308053691275168E-7,1.498802700990007+2.2245216477890424E-9i,3.341225149408119E-6+2.590106979102753E-9i,3.340678706688097E-6-2.58968337846519E-9i,8267504.577957543,7946437.809502923,160.44270697145325+0.030002645418041953i,68.37460509135494-0.001308831078169345i
1.308053691275168E-7,2.404163420507519,3.341225149408119E-6+2.590106979102753E-9i,3.340678706688097E-6-2.58968337846519E-9i,8267504.577957543,7946437.809502923,160.44270697145325+0.030002645418041953i,68.37460509135494-0.001308831078169345i
1.4087248322147653E-7,1.4988027009900182+2.2245212436403655E-9i,-1.2228940930765568E-5+2.3781923136250146E-9i,-1.2225464818046599E-5-2.3775163054083607E-9i,8268402.7121662265,7946341.610291875,172.45796603536226+0.027878650775993368i,55.77408411200652-0.0011928736560542295i
1.4087248322147653E-7,2.404163420507527+9.69489012790085E-16i,-1.2228940930765568E-5+2.3781923136250146E-9i,-1.2225464818046599E-5-2.3775163054083607E-9i,8268402.7121662265,7946341.610291875,172.45796603536226+0.027878650775993368i,55.77408411200652-0.0011928736560542295i
1.5093959731543625E-7,1.4988027009900111+2.224524880978246E-9i,-6.70515091203444E-6+2.361540543066675E-9i,-6.703965346704294E-6-2.3611229893636364E-9i,8267660.771114818,7946482.480373226,138.1115920419603+0.026245061078820374i,5.81441637477099-0.0011719749368057665i
