% Model,tutorial_comsol_projeto1.mph
% Version,COMSOL 6.3.0.420
% Date,"Sep 3 2025, 13:49"
% Table,Accumulated Probe Table 3 - 
% gap (m),Effective_mode_index (1),C12,C21,X11,X22,K12,K21
1.0E-8,1.4988027009900133+2.224522860234982E-9i,-4.122981527450675E-6-1.1124348928793583E-8i,-4.123789586526465E-6+1.1126529178945163E-8i,7946227.237060727,8267553.451409926,71.79769283712012+0.002192126377333296i,167.13951524395168+0.055977697321348475i
1.0E-8,2.404163420507525,-4.122981527450675E-6-1.1124348928793583E-8i,-4.123789586526465E-6+1.1126529178945163E-8i,7946227.237060727,8267553.451409926,71.79769283712012+0.002192126377333296i,167.13951524395168+0.055977697321348475i
2.006711409395973E-8,1.4988027009900193+2.2245244768295757E-9i,-1.663364798017686E-5-1.1239615003178041E-8i,-1.6636249514608222E-5+1.1241372900511207E-8i,7946308.462346925,8267310.733617242,77.07236955685345+0.001984710719925612i,60.15680471711281+0.05755356620508833i
2.006711409395973E-8,2.404163420507523,-1.663364798017686E-5-1.1239615003178041E-8i,-1.6636249514608222E-5+1.1241372900511207E-8i,7946308.462346925,8267310.733617242,77.07236955685345+0.001984710719925612i,60.15680471711281+0.05755356620508833i
3.0134228187919464E-8,1.4988027009900122+2.2245236685322885E-9i,1.1627993594335692E-5-1.1167760503934383E-8i,1.16284514468004E-5+1.116820023471273E-8i,7946436.704266886,8266476.793999732,239.51412506816294+0.002146001105267706i,-136.0359909826021+0.05910798042686608i
3.0134228187919464E-8,2.404163420507522-4.847445063950467E-16i,1.1627993594335692E-5-1.1167760503934383E-8i,1.16284514468004E-5+1.116820023471273E-8i,7946436.704266886,8266476.793999732,239.51412506816294+0.002146001105267706i,-136.0359909826021+0.05910798042686608i
4.02013422818792E-8,1.4988027009900156+2.224524476829583E-9i,-9.816958015070847E-6-1.1287523513041078E-8i,-9.818869888385928E-6+1.1289721782094049E-8i,7946248.526030199,8267565.3771034945,86.94696130799852+0.001636287615284571i,-302.25000335617284+0.060734199194219206i
4.02013422818792E-8,2.4041634205075204-7.271167595925726E-16i,-9.816958015070847E-6-1.1287523513041078E-8i,-9.818869888385928E-6+1.1289721782094049E-8i,7946248.526030199,8267565.3771034945,86.94696130799852+0.001636287615284571i,-302.25000335617284+0.060734199194219206i
5.026845637583893E-8,1.4988027009900096+2.2245232643836434E-9i,-6.231726454915594E-6-1.1386363484755657E-8i,-6.232645023492205E-6+1.138804185683524E-8i,7946335.114396662,8267264.068101955,95.05306295134874+0.0014992397617912079i,106.64815518969397+0.060811373196875615i
5.026845637583893E-8,2.4041634205075204-4.847445063950484E-16i,-6.231726454915594E-6-1.1386363484755657E-8i,-6.232645023492205E-6+1.138804185683524E-8i,7946335.114396662,8267264.068101955,95.05306295134874+0.0014992397617912079i,106.64815518969397+0.060811373196875615i
